index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
94,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),Position Summary... Drives the execution of multiple business plans and projects by identifying cust...,3.2,Walmart 3.2,Plano- TX,Bentonville- AR,10000+,1962,Company - Public,Department- Clothing- & Shoe Stores,Retail,$10+ billion (USD),Target- Costco Wholesale- Amazon,0,0,106,172,139.0,Walmart,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
95,Data Scientist,$86K-$142K (Glassdoor est.),Advanced Analytics – Lead Data Scientist Overview We are looking for a Data Scientist to join our ...,3.8,Logic20/20 3.8,San Jose- CA,Seattle- WA,201 - 500,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142,114.0,Logic20/20,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
96,Data Scientist,$64K-$107K (Glassdoor est.),Are you performance-driven and want your impact to actually matter? Do you want to personally grow a...,4.2,goTRG 4.2,Miami- FL,Miami- FL,501 - 1000,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,0,0,64,107,85.5,goTRG,FL,13,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
97,Data Management Specialist,$31K-$65K (Glassdoor est.),Location: Huntsville- AL Clearance: Secret Clearance Job Description The Data Management Speciali...,4.5,NMR Consulting 4.5,Huntsville- AL,Chantilly- VA,51 - 200,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,0,31,65,48.0,NMR Consulting,AL,25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,na,na,na
99,E-Commerce Data Analyst,$34K-$62K (Glassdoor est.),We have an exciting opportunity forYOU to joinUS- as ourE- Commerce Data Analyst. This position wil...,3.5,iSeatz 3.5,New Orleans- LA,New Orleans- LA,51 - 200,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,34,62,48.0,iSeatz,LA,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
101,Sr. Scientist II,$117K-$231K (Glassdoor est.),Sr. Scientist II Location San Francisco Requisition Number 3553-395-R Apply Now Position Overv...,3.5,Nektar Therapeutics 3.5,San Francisco- CA,San Francisco- CA,201 - 500,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Bristol-Myers Squibb- Merck- GlaxoSmithKline,0,0,117,231,174.0,Nektar Therapeutics,CA,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M
102,Insurance Data Scientist,$64K-$106K (Glassdoor est.),What We'll Bring: What We'll Bring: At TransUnion- we have a welcoming and energetic environment t...,3.9,TransUnion 3.9,Atlanta- GA,Chicago- IL,5001 - 10000,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1,0,0,64,106,85.0,TransUnion,GA,53,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
104,Data Modeler,$79K-$134K (Glassdoor est.),The database modeler shall perform analysis of raw data streams to detect patterns- produce data mod...,4.7,IT Concepts 4.7,Landover- MD,Vienna- VA,51 - 200,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,0,0,79,134,106.5,IT Concepts,MD,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data modeler,na,na
105,Data Analyst / Scientist,$52K-$93K (Glassdoor est.),Scientific Research Corporation is an advanced information technology engineering company that provi...,4.2,Scientific Research Corporation 4.2,Patuxent River- MD,Atlanta- GA,1001 - 5000,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0,0,52,93,72.5,Scientific Research Corporation,MD,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
106,Scientist,$55K-$116K (Glassdoor est.),Type of Requisition: Regular Clearance Level Must Currently Possess: None Clearance Level Must B...,3.4,General Dynamics Information Technology 3.4,Suitland- MD,Fairfax- VA,10000+,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),SAIC- Leidos- Northrop Grumman,0,0,55,116,85.5,General Dynamics Information Technology,MD,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M
